Data,New Cases,New Deaths,Hosp_Patients,Daily Fully Vaccinated,Daily TSA Checkpoint Travelers
1/1/2020,,,,,2311732
1/2/2020,,,,,2178656
1/3/2020,,,,,2422272
1/4/2020,,,,,2210542
1/5/2020,,,,,1806480
1/6/2020,,,,,1815040
1/7/2020,,,,,2034472
1/8/2020,,,,,2072543
1/9/2020,,,,,1687974
1/10/2020,,,,,2183734
1/11/2020,,,,,1992453
1/12/2020,,,,,1691205
1/13/2020,,,,,1876782
1/14/2020,,,,,2242656
1/15/2020,,,,,2347075
1/16/2020,,,,,1781893
1/17/2020,,,,,2000260
1/18/2020,,,,,2298616
1/19/2020,,,,,1870459
1/20/2020,,,,,1801444
1/21/2020,,,,,2100401
1/22/2020,,,,,2145063
1/23/2020,1,0,,,1645196
1/24/2020,1,0,,,2136584
1/25/2020,0,0,,,2004609
1/26/2020,1,0,,,1643435
1/27/2020,0,0,,,1777171
1/28/2020,1,0,,,2085468
1/29/2020,0,0,,,2159047
1/30/2020,0,0,,,1658886
1/31/2020,2,0,,,1948138
2/1/2020,4,0,,,2054725
2/2/2020,3,0,,,1677798
2/3/2020,4,0,,,1843877
2/4/2020,0,0,,,2167857
2/5/2020,0,0,,,2271551
2/6/2020,0,0,,,1770241
2/7/2020,1,0,,,2224826
2/8/2020,1,0,,,2164951
2/9/2020,0,0,,,1814047
2/10/2020,1,0,,,2038375
2/11/2020,0,0,,,2415185
2/12/2020,1,0,,,2507588
2/13/2020,2,0,,,1972248
2/14/2020,1,0,,,2198657
2/15/2020,2,0,,,2494922
2/16/2020,0,0,,,2190300
2/17/2020,6,0,,,2129862
2/18/2020,5,0,,,2358511
2/19/2020,3,0,,,2429489
2/20/2020,2,0,,,1951535
2/21/2020,7,0,,,2380359
2/22/2020,6,0,,,2267382
2/23/2020,1,0,,,1919803
2/24/2020,8,0,,,2075554
2/25/2020,5,0,,,2364727
2/26/2020,10,0,,,2441643
2/27/2020,11,1,,,1949696
2/28/2020,8,0,,,2353150
2/29/2020,12,1,,,2353150
3/1/2020,32,0,,,2089641
3/2/2020,43,6,,,1736393
3/3/2020,74,3,,,1877401
3/4/2020,76,2,,,2130015
3/5/2020,87,3,,,2198517
3/6/2020,131,3,,,1844811
3/7/2020,170,5,,,2119867
3/8/2020,224,4,,,1909363
